HF,Financing scheme,HC,Function,HP,Provider,MEASURE,Measure,LOCATION,Country,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,USA,United States,2002,2002,PC,Percentage,0,Units,,,13.96,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,USA,United States,2003,2003,PC,Percentage,0,Units,,,14.46,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,USA,United States,2004,2004,PC,Percentage,0,Units,,,14.541,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,USA,United States,2005,2005,PC,Percentage,0,Units,,,14.545,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,USA,United States,2006,2006,PC,Percentage,0,Units,,,14.661,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,USA,United States,2007,2007,PC,Percentage,0,Units,,,14.901,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,USA,United States,2008,2008,PC,Percentage,0,Units,,,15.294,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,USA,United States,2009,2009,PC,Percentage,0,Units,,,16.338,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,USA,United States,2010,2010,PC,Percentage,0,Units,,,16.397,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,USA,United States,2011,2011,PC,Percentage,0,Units,,,16.358,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,USA,United States,2012,2012,PC,Percentage,0,Units,,,16.355,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,USA,United States,2013,2013,PC,Percentage,0,Units,,,16.323,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,USA,United States,2014,2014,PC,Percentage,0,Units,,,16.549,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,USA,United States,2015,2015,PC,Percentage,0,Units,,,16.915,,
HFTOT,All financing schemes,HCTOT,Current expenditure on health (all functions),HPTOT,All providers,PARPIB,Share of gross domestic product,USA,United States,2016,2016,PC,Percentage,0,Units,,,17.214,E,Estimated value
